LineID,Order ID,Order Date,Ship Date,Ship Mode,Category,Sub-Category,Country,Region,State,Postal Code,Product Name,Customer Name,Sales,Quantity,Profit,Discount
49,CA-2017-169194,20/06/2017 00:00,25/06/2017 00:00,Standard Class,Technology,Phones,United States,East,Delaware,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Lena Hernandez,21.8,2,6.104,0
50,CA-2016-115742,18/04/2016 00:00,22/04/2016 00:00,Standard Class,Office Supplies,Binders,United States,Central,Indiana,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Darren Powers,38.22,6,17.9634,0
51,CA-2016-115742,18/04/2016 00:00,22/04/2016 00:00,Standard Class,Office Supplies,Labels,United States,Central,Indiana,47150,Avery 485,Darren Powers,75.18,6,35.3346,0
52,CA-2016-115742,18/04/2016 00:00,22/04/2016 00:00,Standard Class,Furniture,Furnishings,United States,Central,Indiana,47150,Longer-Life Soft White Bulbs,Darren Powers,6.16,2,2.9568,0
53,CA-2016-115742,18/04/2016 00:00,22/04/2016 00:00,Standard Class,Furniture,Chairs,United States,Central,Indiana,47150,"Global Leather Task Chair, Black",Darren Powers,89.99,1,17.0981,0
54,CA-2017-105816,11/12/2017 00:00,17/12/2017 00:00,Standard Class,Office Supplies,Fasteners,United States,East,New York,10024,Advantus Push Pins,Janet Molinari,15.26,7,6.2566,0
55,CA-2017-105816,11/12/2017 00:00,17/12/2017 00:00,Standard Class,Technology,Phones,United States,East,New York,10024,AT&T CL83451 4-Handset Telephone,Janet Molinari,1029.95,5,298.6855,0
56,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Office Supplies,Storage,United States,East,New York,12180,Home/Office Personal File Carts,Ted Butterfield,208.56,6,52.14,0
57,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Office Supplies,Paper,United States,East,New York,12180,Xerox 232,Ted Butterfield,32.4,5,15.552,0
58,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Furniture,Chairs,United States,East,New York,12180,Novimex Turbo Task Chair,Ted Butterfield,319.41,5,7.098,0.1
59,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Office Supplies,Paper,United States,East,New York,12180,"Array Parchment Paper, Assorted Colors",Ted Butterfield,14.56,2,6.9888,0
60,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Technology,Accessories,United States,East,New York,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Ted Butterfield,30,2,3.3,0
61,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Office Supplies,Binders,United States,East,New York,12180,Plastic Binding Combs,Ted Butterfield,48.48,4,16.362,0.2
62,CA-2017-111682,17/06/2017 00:00,18/06/2017 00:00,First Class,Office Supplies,Art,United States,East,New York,12180,Prang Dustless Chalk Sticks,Ted Butterfield,1.68,1,0.84,0
63,CA-2016-135545,24/11/2016 00:00,30/11/2016 00:00,Standard Class,Technology,Accessories,United States,West,California,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Kunst Miller,13.98,2,6.1512,0
64,CA-2016-135545,24/11/2016 00:00,30/11/2016 00:00,Standard Class,Office Supplies,Binders,United States,West,California,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Kunst Miller,25.824,6,9.3612,0.2
65,CA-2016-135545,24/11/2016 00:00,30/11/2016 00:00,Standard Class,Office Supplies,Paper,United States,West,California,90004,Xerox 1943,Kunst Miller,146.73,3,68.9631,0
66,CA-2016-135545,24/11/2016 00:00,30/11/2016 00:00,Standard Class,Furniture,Furnishings,United States,West,California,90004,Luxo Economy Swing Arm Lamp,Kunst Miller,79.76,4,22.3328,0
67,US-2016-164175,30/04/2016 00:00,05/05/2016 00:00,Standard Class,Furniture,Chairs,United States,Central,Illinois,60610,"Global Value Mid-Back Manager's Chair, Gray",Paul Stevenson,213.115,5,-15.2225,0.3
68,CA-2015-106376,05/12/2015 00:00,10/12/2015 00:00,Standard Class,Office Supplies,Art,United States,West,Arizona,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Brendan Sweed,1113.024,8,111.3024,0.2
69,CA-2015-106376,05/12/2015 00:00,10/12/2015 00:00,Standard Class,Technology,Phones,United States,West,Arizona,85234,netTALK DUO VoIP Telephone Service,Brendan Sweed,167.968,4,62.988,0.2
70,CA-2017-119823,04/06/2017 00:00,06/06/2017 00:00,First Class,Office Supplies,Paper,United States,South,Virginia,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Karen Daniels,75.88,2,35.6636,0
71,CA-2017-106075,18/09/2017 00:00,23/09/2017 00:00,Standard Class,Office Supplies,Binders,United States,East,New York,10009,Avery Binding System Hidden Tab Executive Style Index Sets,Henry MacAllister,4.616,1,1.731,0.2
72,CA-2018-114440,14/09/2018 00:00,17/09/2018 00:00,Second Class,Office Supplies,Paper,United States,Central,Michigan,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Tracy Blumstein,19.05,3,8.763,0
73,US-2016-134026,26/04/2016 00:00,02/05/2016 00:00,Standard Class,Furniture,Chairs,United States,South,Tennessee,38109,High-Back Leather Manager's Chair,Joel Eaton,831.936,8,-114.3912,0.2
74,US-2016-134026,26/04/2016 00:00,02/05/2016 00:00,Standard Class,Furniture,Furnishings,United States,South,Tennessee,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Joel Eaton,97.04,2,1.213,0.2
75,US-2016-134026,26/04/2016 00:00,02/05/2016 00:00,Standard Class,Office Supplies,Storage,United States,South,Tennessee,38109,Safco Industrial Wire Shelving System,Joel Eaton,72.784,1,-18.196,0.2
76,US-2018-118038,09/12/2018 00:00,11/12/2018 00:00,First Class,Office Supplies,Binders,United States,Central,Texas,77041,Economy Binders,Ken Brennan,1.248,3,-1.9344,0.8
77,US-2018-118038,09/12/2018 00:00,11/12/2018 00:00,First Class,Furniture,Furnishings,United States,Central,Texas,77041,"6"" Cubicle Wall Clock, Black",Ken Brennan,9.708,3,-5.8248,0.6
78,US-2018-118038,09/12/2018 00:00,11/12/2018 00:00,First Class,Office Supplies,Storage,United States,Central,Texas,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Ken Brennan,27.24,3,2.724,0.2
79,US-2015-147606,26/11/2015 00:00,01/12/2015 00:00,Second Class,Furniture,Furnishings,United States,Central,Texas,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Joel Eaton,19.3,5,-14.475,0.6
80,CA-2017-127208,12/06/2017 00:00,15/06/2017 00:00,First Class,Office Supplies,Appliances,United States,South,Alabama,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Stewart Carmichael,208.16,1,56.2032,0
81,CA-2017-127208,12/06/2017 00:00,15/06/2017 00:00,First Class,Office Supplies,Binders,United States,South,Alabama,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,Stewart Carmichael,16.74,3,8.0352,0
82,CA-2015-139451,12/10/2015 00:00,16/10/2015 00:00,Standard Class,Office Supplies,Art,United States,West,California,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Duane Noonan,14.9,5,4.172,0
83,CA-2015-139451,12/10/2015 00:00,16/10/2015 00:00,Standard Class,Office Supplies,Storage,United States,West,California,94122,"Sortfiler Multipurpose Personal File Organizer, Black",Duane Noonan,21.39,1,6.2031,0
84,CA-2016-149734,03/09/2016 00:00,08/09/2016 00:00,Standard Class,Office Supplies,Envelopes,United States,South,North Carolina,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Julie Creighton,200.984,7,62.8075,0.2
85,US-2018-119662,13/11/2018 00:00,16/11/2018 00:00,First Class,Office Supplies,Storage,United States,Central,Illinois,60623,Safco Industrial Wire Shelving,Christopher Schild,230.376,3,-48.9549,0.2
86,CA-2018-140088,28/05/2018 00:00,30/05/2018 00:00,Second Class,Furniture,Chairs,United States,South,South Carolina,29203,Novimex Swivel Fabric Task Chair,Patrick O'Donnell,301.96,2,33.2156,0
87,CA-2018-155558,26/10/2018 00:00,02/11/2018 00:00,Standard Class,Technology,Accessories,United States,Central,Minnesota,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Paul Gonzalez,19.99,1,6.7966,0
88,CA-2018-155558,26/10/2018 00:00,02/11/2018 00:00,Standard Class,Office Supplies,Labels,United States,Central,Minnesota,55901,Avery 511,Paul Gonzalez,6.16,2,2.9568,0
89,CA-2017-159695,05/04/2017 00:00,10/04/2017 00:00,Second Class,Office Supplies,Storage,United States,Central,Texas,77095,Eldon Portable Mobile Manager,Gary Mitchum,158.368,7,13.8572,0.2
90,CA-2017-109806,17/09/2017 00:00,22/09/2017 00:00,Standard Class,Office Supplies,Art,United States,West,California,90036,Turquoise Lead Holder with Pocket Clip,Jim Sink,20.1,3,6.633,0
91,CA-2017-109806,17/09/2017 00:00,22/09/2017 00:00,Standard Class,Technology,Phones,United States,West,California,90036,Panasonic Kx-TS550,Jim Sink,73.584,2,8.2782,0.2
92,CA-2017-109806,17/09/2017 00:00,22/09/2017 00:00,Standard Class,Office Supplies,Paper,United States,West,California,90036,Xerox 1995,Jim Sink,6.48,1,3.1104,0
93,CA-2016-149587,31/01/2016 00:00,05/02/2016 00:00,Second Class,Office Supplies,Paper,United States,Central,Minnesota,55407,Xerox 1999,Karl Braun,12.96,2,6.2208,0
94,CA-2016-149587,31/01/2016 00:00,05/02/2016 00:00,Second Class,Furniture,Furnishings,United States,Central,Minnesota,55407,"Seth Thomas 13 1/2"" Wall Clock",Karl Braun,53.34,3,16.5354,0
95,CA-2016-149587,31/01/2016 00:00,05/02/2016 00:00,Second Class,Office Supplies,Binders,United States,Central,Minnesota,55407,Ibico Standard Transparent Covers,Karl Braun,32.96,2,16.1504,0
96,US-2018-109484,06/11/2018 00:00,12/11/2018 00:00,Standard Class,Office Supplies,Binders,United States,West,Oregon,97206,Flexible Leather- Look Classic Collection Ring Binder,Roger Barcio,5.682,1,-3.788,0.7
97,CA-2018-161018,09/11/2018 00:00,11/11/2018 00:00,Second Class,Furniture,Furnishings,United States,East,New York,10009,9-3/4 Diameter Round Wall Clock,Parhena Norris,96.53,7,40.5426,0
98,CA-2018-157833,17/06/2018 00:00,20/06/2018 00:00,First Class,Office Supplies,Binders,United States,West,California,94122,Trimflex Flexible Post Binders,Katherine Ducich,51.312,3,17.9592,0.2
99,CA-2017-149223,06/09/2017 00:00,11/09/2017 00:00,Standard Class,Office Supplies,Appliances,United States,Central,Minnesota,55106,Fellowes Basic Home/Office Series Surge Protectors,Elpida Rittenbach,77.88,6,22.5852,0
100,CA-2017-158568,29/08/2017 00:00,02/09/2017 00:00,Standard Class,Office Supplies,Paper,United States,Central,Illinois,60610,Avery Personal Creations Heavyweight Cards,Rick Bensley,64.624,7,22.6184,0.2
101,CA-2017-158568,29/08/2017 00:00,02/09/2017 00:00,Standard Class,Technology,Accessories,United States,Central,Illinois,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Rick Bensley,95.976,3,-10.7973,0.2
102,CA-2017-158568,29/08/2017 00:00,02/09/2017 00:00,Standard Class,Office Supplies,Binders,United States,Central,Illinois,60610,Avery Hidden Tab Dividers for Binding Systems,Rick Bensley,1.788,3,-3.0396,0.8
103,CA-2017-129903,01/12/2017 00:00,04/12/2017 00:00,Second Class,Office Supplies,Paper,United States,Central,Minnesota,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Gary Zandusky,23.92,4,11.7208,0
104,US-2016-156867,13/11/2016 00:00,17/11/2016 00:00,Standard Class,Technology,Accessories,United States,West,Colorado,80013,Logitech K350 2.4Ghz Wireless Keyboard,Lena Cacioppo,238.896,6,-26.8758,0.2
105,US-2016-156867,13/11/2016 00:00,17/11/2016 00:00,Standard Class,Furniture,Furnishings,United States,West,Colorado,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Lena Cacioppo,102.36,3,-3.8385,0.2
106,US-2016-156867,13/11/2016 00:00,17/11/2016 00:00,Standard Class,Office Supplies,Binders,United States,West,Colorado,80013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Lena Cacioppo,36.882,3,-25.8174,0.7
107,CA-2018-119004,23/11/2018 00:00,28/11/2018 00:00,Standard Class,Technology,Accessories,United States,South,North Carolina,28205,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Janet Martin,74.112,8,17.6016,0.2
108,CA-2018-119004,23/11/2018 00:00,28/11/2018 00:00,Standard Class,Technology,Phones,United States,South,North Carolina,28205,Speck Products Candyshell Flip Case,Janet Martin,27.992,1,2.0994,0.2
109,CA-2018-119004,23/11/2018 00:00,28/11/2018 00:00,Standard Class,Office Supplies,Art,United States,South,North Carolina,28205,Newell Chalk Holder,Janet Martin,3.304,1,1.0738,0.2
110,CA-2016-129476,15/10/2016 00:00,20/10/2016 00:00,Standard Class,Technology,Accessories,United States,Central,Illinois,60462,Logitech Gaming G510s - Keyboard,Pete Armstrong,339.96,5,67.992,0.2
111,CA-2018-146780,25/12/2018 00:00,30/12/2018 00:00,Standard Class,Furniture,Furnishings,United States,East,New York,10035,Magnifier Swing Arm Lamp,Cynthia Voltz,41.96,2,10.9096,0
112,CA-2017-128867,03/11/2017 00:00,10/11/2017 00:00,Standard Class,Office Supplies,Art,United States,Central,Iowa,50322,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Clay Ludtke,75.96,2,22.788,0
113,CA-2017-128867,03/11/2017 00:00,10/11/2017 00:00,Standard Class,Office Supplies,Binders,United States,Central,Iowa,50322,"Avery Durable Plastic 1"" Binders",Clay Ludtke,27.24,6,13.3476,0
114,CA-2015-115259,25/08/2015 00:00,27/08/2015 00:00,Second Class,Office Supplies,Fasteners,United States,East,Ohio,43229,"OIC Colored Binder Clips, Assorted Sizes",Ryan Crowe,40.096,14,14.5348,0.2
115,CA-2015-115259,25/08/2015 00:00,27/08/2015 00:00,Second Class,Office Supplies,Envelopes,United States,East,Ohio,43229,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Ryan Crowe,4.72,2,1.652,0.2
116,CA-2015-115259,25/08/2015 00:00,27/08/2015 00:00,Second Class,Office Supplies,Paper,United States,East,Ohio,43229,Xerox 1921,Ryan Crowe,23.976,3,7.4925,0.2
117,CA-2015-115259,25/08/2015 00:00,27/08/2015 00:00,Second Class,Office Supplies,Envelopes,United States,East,Ohio,43229,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Ryan Crowe,130.464,6,44.0316,0.2
118,CA-2016-110457,02/03/2016 00:00,06/03/2016 00:00,Standard Class,Furniture,Tables,United States,West,Washington,98103,Hon Racetrack Conference Tables,Dave Kipp,787.53,3,165.3813,0
119,US-2016-136476,05/04/2016 00:00,10/04/2016 00:00,Standard Class,Office Supplies,Binders,United States,South,Tennessee,37620,GBC DocuBind 300 Electric Binding Machine,Greg Guthrie,157.794,1,-115.7156,0.7
120,CA-2017-103730,12/06/2017 00:00,15/06/2017 00:00,First Class,Furniture,Furnishings,United States,East,Delaware,19805,Artistic Insta-Plaque,Steven Cartwright,47.04,3,18.3456,0
121,CA-2017-103730,12/06/2017 00:00,15/06/2017 00:00,First Class,Office Supplies,Binders,United States,East,Delaware,19805,DXL Angle-View Binders with Locking Rings by Samsill,Steven Cartwright,30.84,4,13.878,0
122,CA-2017-103730,12/06/2017 00:00,15/06/2017 00:00,First Class,Office Supplies,Storage,United States,East,Delaware,19805,"Companion Letter/Legal File, Black",Steven Cartwright,226.56,6,63.4368,0
123,CA-2017-103730,12/06/2017 00:00,15/06/2017 00:00,First Class,Office Supplies,Envelopes,United States,East,Delaware,19805,Globe Weis Peel & Seel First Class Envelopes,Steven Cartwright,115.02,9,51.759,0
124,CA-2017-103730,12/06/2017 00:00,15/06/2017 00:00,First Class,Technology,Phones,United States,East,Delaware,19805,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Steven Cartwright,68.04,7,19.7316,0
125,US-2015-152030,26/12/2015 00:00,28/12/2015 00:00,Second Class,Furniture,Chairs,United States,Central,Texas,77041,Global Deluxe High-Back Manager's Chair,Alan Dominguez,600.558,3,-8.5794,0.3
126,US-2015-134614,20/09/2015 00:00,25/09/2015 00:00,Standard Class,Furniture,Tables,United States,Central,Illinois,61701,Bevis 44 x 96 Conference Tables,Philip Fox,617.7,6,-407.682,0.5
127,US-2018-107272,05/11/2018 00:00,12/11/2018 00:00,Standard Class,Office Supplies,Binders,United States,West,Arizona,85023,"Avery Durable Slant Ring Binders, No Labels",Troy Staebel,2.388,2,-1.8308,0.7
128,US-2018-107272,05/11/2018 00:00,12/11/2018 00:00,Standard Class,Office Supplies,Storage,United States,West,Arizona,85023,"Trav-L-File Heavy-Duty Shuttle II, Black",Troy Staebel,243.992,7,30.499,0.2
